State/UT,Category,Population Density,Birth Rate,Death Rate,Infant Mortality Rate,Total Fertility Rate (Children per women)
Andhra Pradesh,State,303,15.7,6.3,24,1.7
Arunachal Pradesh,State,17,17.3,5.7,21,1.8
Assam,State,397,20.8,6.2,36,1.9
Bihar,State,1102,25.5,5.4,27,3
Chhattisgarh,State,189,22,7.9,38,1.8
Goa,State,394,12.1,5.9,5,1.3
Gujarat,State,308,19.3,5.6,23,1.9
Haryana,State,573,19.9,6.1,28,1.9
Himachal Pradesh,State,123,15.3,6.8,17,1.7
Jammu & Kashmir,Union Territory,98,14.6,4.6,17,1.4
Jharkhand,State,414,22,5.2,25,2.3
Karnataka,State,319,16.5,6.2,19,1.7
Kerala,State,859,13.2,7,6,1.8
Ladakh,Union Territory,2.8,14.3,5,16,1.3
Madhya Pradesh,State,236,24.1,6.5,43,2
Maharashtra,State,365,15,5.5,16,1.7
Manipur,State,122,13.3,4.3,6,2.2
Meghalaya,State,132,22.9,5.3,29,2.9
Mizoram,State,52,14.4,4.2,3,1.9
Nagaland,State,119,12.5,3.7,4,1.7
Odisha,State,269,17.7,7.3,36,1.8
Punjab,State,550,14.3,7.2,18,1.6
Rajasthan,State,201,23.5,5.6,32,2
Sikkim,State,86,15.6,4.1,5,1.1
Tamil Nadu,State,555,13.8,6.1,13,1.8
Telangana,State,312,16.4,6,21,1.8
Tripura,State,350,12.6,5.7,18,1.7
Uttar Pradesh,State,828,25.1,6.5,38,2.4
Uttarakhand,State,189,16.6,6.3,24,1.9
West Bengal,State,1029,14.6,5.5,19,1.6
Andaman and Nicobar Islands,Union Territory,46,10.8,5.8,7,1.3
Chandigarh,Union Territory,9252,12.9,3.9,8,1.4
Dadra and Nagar Haveli and Daman and Diu,Union Territory,974,20.3,3.7,16,1.8
Delhi,Union Territory,11297,14.2,3.6,12,1.6
Lakshadweep,Union Territory,2013,14.6,6.5,9,1.4
Puducherry,Union Territory,2598,13.1,5.4,6,1.5