state,state_code,population,sq_miles,pop_density
Alabama,AL,5024279,52420,96
Alaska,AK,,,
Arizona,AZ,7151502,113990,63
Arkansas,AR,3011524,53179,57
California,CA,39538223,163695,242
Colorado,CO,5773714,104094,55
Connecticut,CT,3605944,5543,650
Delaware,DE,989948,2489,398
Florida,FL,21538187,65758,328
Georgia,GA,10711908,59425,180
Hawaii,HI,,,
Idaho,ID,1839106,83569,22
Illinois,IL,12812508,57914,221
Indiana,IN,6785528,36420,186
Iowa,IA,3190369,56273,57
Kansas,KS,2937880,82278,36
Kentucky,KY,4505836,40408,112
Louisiana,LA,4657757,52378,89
Maine,ME,1362359,35380,39
Maryland,MD,6177224,12406,498
Massachusetts,MA,7029917,10554,666
Michigan,MI,10077331,96714,104
Minnesota,MN,5706494,86936,66
Mississippi,MS,2961279,48432,61
Missouri,MO,6154913,69707,88
Montana,MT,1084225,147040,7
Nebraska,NE,1961504,77348,25
Nevada,NV,3104614,110572,28
New Hampshire,NH,1377529,9349,147
New Jersey,NJ,9288994,8723,1065
New Mexico,NM,2117522,121590,17
New York,NY,20201249,54555,370
North Carolina,NC,10439388,53819,194
North Dakota,ND,779094,70698,11
Ohio,OH,11799448,44826,263
Oklahoma,OK,3959353,69899,57
Oregon,OR,4237256,98379,43
Pennsylvania,PA,13002700,46054,282
Rhode Island,RI,1097379,1545,710
South Carolina,SC,5118425,32020,160
South Dakota,SD,886667,77116,11
Tennessee,TN,6910840,42144,164
Texas,TX,29145505,268596,109
Utah,UT,3271616,84897,39
Vermont,VT,643077,9616,67
Virginia,VA,8631393,42775,202
Washington,WA,7705281,71298,108
West Virginia,WV,1793716,24230,74
Wisconsin,WI,5893718,65496,90
Wyoming,WY,576851,97813,6